,노래
186,  Daybreak  Minhyun&JR     잔나비  
187,  사랑은 지날수록 더욱 선명하게 남아    경서예지  
188,  처음이라서    펀치  Punch   
189,  Purpose  Stripped     이예준  
190,  안녕  오늘의 그대에게    뉴이스트  
191,  Like Strangers Do    전상근  
192,  반만    정효빈  
193,  어떻게 지내  Prod. By VAN.C     Etham  
194,  AND I    임한별  
195,  아름답고도 아프구나    AJ Mitchell  
196,  Lonely Night    진민호  
197,  I’ll Still Have Me    오반  
198,  아무렇지 않게  안녕    뉴이스트 W  
199,  넌 내가 보고 싶지 않나 봐    비투비  
200,  사랑은 늘 도망가    임영웅  
201,  코 끝이 찡하게    차가을  
202,  혼자 사랑하고 미워해    백예슬  
203,  비 오는 날 듣기 좋은 노래  Feat. Colde     에픽하이  EPIK HIGH   
204,  Your Lights    이수  엠씨더맥스   
205,  너와 나 우리  Feat. ZELO of B.A.P     이예준  
206,  별이 쏟아지는 밤    려욱  RYEOWOOK   
207,  헤픈 우연    헤이즈  Heize   
208,  Falling    Harry Styles  
209,  High    5 Seconds of Summer  
210,  If the World Was Ending  feat. Julia Michaels   Feat. Julia Michaels     JP Saxe  
211,  그냥 안아달란 말야    다비치  
212,  2 soon    keshi  
213,  r u ok    Tate McRae  
214,  cheap sunglasses    John K  
215,  Rain    태연  TAEYEON   
216,  어떻게 이별까지 사랑하겠어  널 사랑하는 거지    AKMU  악뮤   
217,  기다릴게    하동균  
218,  사랑하기 싫어    봉구  
219,  Gone    영지  
220,  To Die For  Acoustic     로제  ROSÉ   
221,  Rosario  Feat. CL  ZICO     Sam Smith  
222,  rainy day    에픽하이  EPIK HIGH   
223,  LMM    휘성  Realslow   
224,  사랑 못해  남들 쉽게 다 하는 거    태일  블락비   
225,  멜로디    청하  
226,  사랑한단 거짓말은 안 할래    화사  Hwa Sa   
227,  함께 했는데 이별은 나 혼자인 거야    먼데이 키즈  Monday Kiz   
228,  X  걸어온 길에 꽃밭 따윈 없었죠     ASH ISLAND  
229,  그리워하면 그댈 만날까봐    먼데이 키즈  Monday Kiz   
230,  오월의 어느 봄날  Feat. 첸 CHEN      최현준  V.O.S   
231,  혼술하고 싶은 밤    이소정  
232,  가을밤에 든 생각    청하  
233,  사실 나는  Feat.전건호     김나영  
234,  널 사랑했던 한 사람    임한별  
235,  안녕과 안녕으로    벤  
236,  Daybreak  Minhyun&JR     잔나비  
237,  사랑은 지날수록 더욱 선명하게 남아    경서예지  
238,  처음이라서    펀치  Punch   
239,  Purpose  Stripped     이예준  
240,  안녕  오늘의 그대에게    뉴이스트  
241,  Like Strangers Do    전상근  
242,  반만    정효빈  
243,  어떻게 지내  Prod. By VAN.C     Etham  
244,  AND I    임한별  
245,  아름답고도 아프구나    AJ Mitchell  
246,  Lonely Night    진민호  
