,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
182,알지도 못하면서,민서,5,,,,,,,,,,
183,Where Were You In The Morning?,Shawn Mendes,5,,,,,,,,,,
184,You,멜로망스,5,,,,,,,,,,
185,지나오다,닐로(Nilo),5,,,,,,,,,,
186,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,5,,,,,,,,,,
187,Paper Hearts,Tori Kelly,5,,,,,,,,,,
188,꽃 길,BIGBANG (빅뱅),5,,,,,,,,,,
189,Say Something (Feat. Christina Aguilera),A Great Big World,5,,,,,,,,,,
190,별이 빛나는 밤,마마무 (Mamamoo),5,,,,,,,,,,
191,눈부신 눈물,디셈버,5,,,,,,,,,,
192,별이될께,디셈버,5,,,,,,,,,,
193,Never Say Goodbye,먼데이 키즈 (Monday Kiz),5,,,,,,,,,,
194,사랑할거예요,소피야 (Sophiya),5,,,,,,,,,,
195,오늘 같은 밤이면,먼데이 키즈 (Monday Kiz),5,,,,,,,,,,
196,오늘밤도,펀치 (Punch),5,,,,,,,,,,
197,여기까지,"권진아, 샘김 (Sam Kim)",5,,,,,,,,,,
198,후유증,"민경훈, 김희철",5,,,,,,,,,,
199,끝이 아닌 것 같아서,바닐라 어쿠스틱,5,,,,,,,,,,
200,사람이,"정동하, 폴킴",5,,,,,,,,,,
201,아주 오래된 기억,백예린 (Yerin Baek),5,,,,,,,,,,
202,네게,양다일,5,,,,,,,,,,
203,퇴근버스,이준호,5,,,,,,,,,,
204,나를 좋아하지 않는 그대에게,박원,5,,,,,,,,,,
205,오늘도 그대만 (Feat. 정동원),T.P RETRO (타디스 프로젝트舊),5,,,,,,,,,,
206,너만 없다,예이슬,5,,,,,,,,,,
207,사랑을 했다 (LOVE SCENARIO),iKON,5,,,,,,,,,,
208,한 편의 너,"양다일, 도겸 (SEVENTEEN)",5,,,,,,,,,,
209,미안해,양다일,5,,,,,,,,,,
210,답장,김동률,5,,,,,,,,,,
211,어떤가요,노을,5,,,,,,,,,,
212,너만 없다,JIN (러블리즈),5,,,,,,,,,,
213,내 사랑,폴킴,5,,,,,,,,,,
214,그날처럼,장덕철,5,,,,,,,,,,
215,Ex,폴킴,5,,,,,,,,,,
216,가만히 눈을 감고 (CF - 교토 다원녹차),정재욱,5,,,,,,,,,,
217,Universe,EXO,5,,,,,,,,,,
218,꽃비,폴킴,5,,,,,,,,,,
219,Lonely (Feat. 태연),종현 (JONGHYUN),5,,,,,,,,,,
220,널 떠올리는게 (Thinking of you),"술제이 (Sool J), 폴킴, ultimadrap (울티마 디랩)",5,,,,,,,,,,
221,너는 어때,"이강, 양다일",5,,,,,,,,,,
222,그리워,"양다일, 효린",5,,,,,,,,,,
223,긴긴밤,블루파프리카,5,,,,,,,,,,
224,너였고 너이고 너일 거라서,세븐어클락,5,,,,,,,,,,
225,11°,민아 (Minah),5,,,,,,,,,,
226,Her,폴킴,5,,,,,,,,,,
227,우리라는 세상,이석훈,5,,,,,,,,,,
228,Piano (Feat. iHwak),제이문 (Jay Moon),5,,,,,,,,,,
229,For You,브라운 아이즈,5,,,,,,,,,,
230,To. 첫사랑,마인드유,5,,,,,,,,,,
231,결혼,문문 (MoonMoon),5,,,,,,,,,,
232,바람의 노래,소향,5,,,,,,,,,,
233,빗속에서,"켄(KEN), 최상엽",5,,,,,,,,,,
234,기억의 빈자리 (Piano Ver.),나얼,5,,,,,,,,,,
235,우리라는 세상,이석훈,5,,,,,,,,,,
236,길,폴킴,5,,,,,,,,,,
237,이젠 잊기로 해요,여은,5,,,,,,,,,,
238,우리가 헤어진 이유,한올,5,,,,,,,,,,
239,그대는 어디에 (Feat. 한희정),에피톤 프로젝트,5,,,,,,,,,,
240,끝사랑,지세희,5,,,,,,,,,,
241,잘 된 일이야,나비 (Navi),5,,,,,,,,,,
242,혼자,어반자카파,5,,,,,,,,,,
243,좋아,"민서, 윤종신",5,,,,,,,,,,
244,This Christmas,태연 (TAEYEON),5,,,,,,,,,,
245,"그때의 나, 그때의 우리",어반자카파,5,,,,,,,,,,
246,비처럼 가지 마요 (One More Chance),SUPER JUNIOR (슈퍼주니어),5,,,,,,,,,,
247,울고 싶지 않아,세븐틴,5,,,,,,,,,,
248,Three Empty Words,Shawn Mendes,5,,,,,,,,,,
249,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),5,,,,,,,,,,
250,Honest,Shawn Mendes,5,,,,,,,,,,
251,비,폴킴,5,,,,,,,,,,
252,Real Love (Feat. 샛별),크루셜스타 (CRUCiAL STAR),5,,,,,,,,,,
253,Chronic Intoxication (Ryoko Anan Natsu No Yuki Remix),Nieve & Cook,5,,,,,,,,,,
254,빈차 (Feat. 오혁),에픽하이 (EPIK HIGH),5,,,,,,,,,,
255,술 한잔 해요,지아,5,,,,,,,,,,
256,Don't Be A Fool,Shawn Mendes,5,,,,,,,,,,
257,출국 (出國),하림,5,,,,,,,,,,
258,기억의 습작,김동률,5,,,,,,,,,,
259,이런 남자,먼데이 키즈 (Monday Kiz),5,,,,,,,,,,
260,어디에도,엠씨더맥스 (M.C the MAX),5,,,,,,,,,,
261,Why Don't You Know (Feat. 넉살),청하,5,,,,,,,,,,
262,눈 떠보니 이별이더라,포맨 (4MEN),5,,,,,,,,,,
263,너가 날 떠나면 안되는 이유 (Feat. 정표),ILLSON,5,,,,,,,,,,
264,내 맘에 들어와,박서준,5,,,,,,,,,,
265,Too Good At Goodbyes (Acoustic),Sam Smith,5,,,,,,,,,,
266,Sunflower,윤하 (YOUNHA),5,,,,,,,,,,
267,밤이 되니까,펀치 (Punch),5,,,,,,,,,,
268,너 라는 계절,서인국,5,,,,,,,,,,
269,나에게 넌,다비치,5,,,,,,,,,,
270,잠 못 드는 밤 비는 내리고,아이유,5,,,,,,,,,,
271,내 사람,박보검,5,,,,,,,,,,
272,Reason,정일영,5,,,,,,,,,,
273,멀리서 안부,윤하 (YOUNHA),5,,,,,,,,,,
274,어때 (Feat. 하림),긱스 (Geeks),5,,,,,,,,,,
275,All Right,김예림 (Lim Kim),5,,,,,,,,,,
276,날 닮은 너,"이예준, 이현주",5,,,,,,,,,,
277,Gone (Feat. 주희 Of 에이트),다이나믹 듀오,5,,,,,,,,,,
278,너를 보낸다,박서준,5,,,,,,,,,,
279,당신과의 키스를 세어보아요,우혜미,5,,,,,,,,,,
280,Shut Up (Feat. Simon D),에일리(Ailee),5,,,,,,,,,,
281,옛 사랑,이문세,5,,,,,,,,,,
282,오늘,오왠 (O.WHEN),5,,,,,,,,,,
283,With Me,휘성 (Realslow),5,,,,,,,,,,
284,이럴거면 헤어지지 말았어야지,박원,5,,,,,,,,,,
285,비와 당신,럼블피쉬,5,,,,,,,,,,
286,All For You,쿨 (COOL),5,,,,,,,,,,
287,바래진 기억에,박지윤,5,,,,,,,,,,
288,I Miss You,마마무 (Mamamoo),5,,,,,,,,,,
289,끝 무렵,윤종신,5,,,,,,,,,,
290,이 빗속에 (Acoustic Ver.),블루파프리카,5,,,,,,,,,,
291,라라라,이수영,5,,,,,,,,,,
292,이게 나예요,신승훈,5,,,,,,,,,,
293,Vineyard (빈야드),우효,5,,,,,,,,,,
294,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),5,,,,,,,,,,
295,"what2do (Feat. Crush, Jeff Bernat)",DEAN,5,,,,,,,,,,
296,나 돌아가,임정희,5,,,,,,,,,,
297,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),5,,,,,,,,,,
298,별,유미,5,,,,,,,,,,
299,그 한 사람,이승환,5,,,,,,,,,,
300,이럴거면,아이비,5,,,,,,,,,,
301,잘가요,정재욱,5,,,,,,,,,,
302,하루,박혜경,5,,,,,,,,,,
303,남자 때문에,JOO,5,,,,,,,,,,
304,투명인간,손담비,5,,,,,,,,,,
305,걸어온다,정진운,5,,,,,,,,,,
306,내 사랑아,이종현,5,,,,,,,,,,
307,Rain,박혜경,5,,,,,,,,,,
308,1997 Spring,Yoshimata Ryo,5,,,,,,,,,,
309,기도,정일영,5,,,,,,,,,,
310,달빛이 지고,임세주,5,,,,,,,,,,
311,아름다운 날들,장혜진,5,,,,,,,,,,
312,Inside My Heart,김정은,5,,,,,,,,,,
313,너무 아픈 사랑은 사랑이 아니었음을,김광석,5,,,,,,,,,,
314,River Flows In You,이루마,5,,,,,,,,,,
315,우산,윤하 (YOUNHA),5,,,,,,,,,,
316,Long Long Ago,Acoustic Cafe,5,,,,,,,,,,
317,"여자는 말 못하고, 남자는 모르는 것들",정석,5,,,,,,,,,,
318,보낼 수 없는 사랑,Sanha,5,,,,,,,,,,
319,루비(淚悲):슬픈 눈물,핑클 (Fin.K.L),5,,,,,,,,,,
