노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('(Bonus) What Are You Seeing? (Performance in film)', '선우정아')",7,3,3,8,0,3,0,4,0,9,2
"('Teardrop', 'Massive Attack')",0,0,1,5,0,3,0,1,0,7,2
"('안개', '보아 (BoA)')",0,0,0,5,0,1,0,0,0,0,0
"('Nobody Knows', '김윤아')",5,0,0,5,4,0,0,0,0,6,0
"('꽃이 지다  (Feat. 조원선)', '정재형')",4,0,0,7,0,0,0,0,0,1,1
"('목소리', '김윤아')",6,1,1,6,0,1,0,0,2,1,0
"('숨결', 'Mad Soul Child')",2,0,0,5,0,0,0,1,0,1,0
"('그렇습니까', '흐른')",5,0,0,5,0,0,0,0,0,0,0
"('Moonlight', '이바다')",2,0,1,6,0,0,0,0,0,0,0
"('Kiss or Kill', '가인')",4,0,1,8,0,0,0,0,0,0,0
"('천 개의 태양', '캐스커')",0,0,0,5,0,0,0,3,0,0,1
"('Butterfly', '최정인')",0,0,0,5,0,0,0,0,0,0,0
"(""I Can't Never Stop"", '이바다')",1,0,2,5,3,0,0,3,0,0,0
"('멈춰버린 밤 (Still Ist Die Nacht)', '엘리케이 (Elli K)')",2,1,2,5,0,0,0,2,0,1,0
"('별빛속으로 (Feat. 박지윤)', '김C')",0,2,1,5,0,0,0,3,1,1,3
"('Theme Intro', '방준석')",4,0,4,5,0,1,0,14,0,9,0
"('잡아줘', '이바다')",1,0,1,5,1,0,1,1,0,0,0
"('빨간구두', '정중한')",0,0,0,5,0,0,0,0,0,0,0
"('Curse of Girl', '박정현')",0,0,0,5,0,0,0,0,0,0,0
"('나비', '혜림')",2,0,2,5,2,0,0,2,0,0,0
"('유리', '김윤아')",14,1,2,6,0,1,0,1,0,2,0
"('Kim Ju Young', '박정은')",1,1,4,6,0,1,0,1,0,3,4
"('길', '김윤아')",2,0,0,5,0,0,0,0,0,2,0
