,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
259,Ooh Ooh,THAMA,11,0,0,0,0,0,5,2,1,0,2
260,이상기후,기리보이,0,0,6,0,3,1,5,0,0,2,0
261,운명이란걸 (Feat. KAYA),비미 (BEME),0,0,1,0,0,0,6,0,0,0,0
262,NO MORE (Feat. 채수빈),Plo6,1,0,1,0,0,0,5,0,0,0,2
263,Cashmere (Feat. 네이비쿼카),리슨 (LYSON),4,0,1,1,2,0,5,3,1,10,3
264,마음은 마음대로,우재 (WOOJAE),0,0,0,0,1,1,5,0,0,0,1
265,Back to Love,FRankly (프랭클리),0,0,1,1,2,0,7,3,0,3,8
266,Forever (feat. So!YoON!),Rad Museum,1,0,0,2,0,0,5,4,0,0,1
267,젖은 우산,Rad Museum,5,2,2,1,2,0,5,0,2,1,0
268,이렇게 둘이,창모 (CHANGMO),0,1,1,0,0,0,5,0,0,0,0
269,우린 어떠한 별보다 빛날 거야,이하이,0,0,0,0,0,0,5,0,0,0,0
270,Maybe We Could Be a Thing,"Jesse Barrera, Michael Carreon, Albert Posis",6,0,2,1,2,0,5,6,0,1,1
271,GANADARA (Feat. 아이유),박재범,5,0,1,0,0,0,5,1,0,4,1
272,A LOT,John K,0,0,0,0,12,0,5,4,0,0,0
273,Love yourself,저드 (jerd),0,0,0,0,0,0,5,0,0,0,0
274,우리 얘기 좀 하자 (With 예빈(다이아)),단칸방 로맨스,2,0,0,0,0,0,5,0,0,0,1
275,October Rain,JEHO,4,0,0,0,2,0,5,0,0,0,3
276,어제처럼,폴킴,6,0,0,0,0,0,5,2,1,1,0
277,"손을 잡는다거나, 같이 걷는다거나",적재,0,0,0,0,0,0,5,1,0,0,0
278,"Fallin (Acoustic ver.) (Song by SIM2, Owler)",SOUND PALETTE,1,1,0,0,0,1,5,0,0,0,0
279,Pilot,NCT 127,0,1,0,0,0,0,5,1,0,0,0
280,선을 그려줘 (Feat. 백선),노르웨이 숲,5,0,0,1,0,0,5,4,0,2,0
281,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH),2,0,0,0,0,0,5,0,0,0,0
282,"Midnight Library (Feat. Kelsey Kuan, Kevin Chung)",뎁트,1,0,0,0,0,0,5,1,0,3,2
283,"꿈의 백화점 (Feat. Ashley Alisha, Heyden)",뎁트,0,0,0,0,0,0,5,0,0,0,0
284,말해줘,네이비쿼카 (NavyQuokka),0,0,0,0,0,0,5,0,0,1,0
285,Sunshine,"승오, 우림",0,0,0,0,0,0,5,0,0,0,0
286,Guess & try (feat. RIPLEY),"승오, 우림",0,0,2,0,0,0,5,6,0,7,0
287,야몽음인 (夜夢陰人),이바다,0,0,0,0,0,0,0,5,0,0,0
288,One More Night (Feat. VINXEN),베이빌론 (Babylon),5,0,0,0,2,0,0,5,0,0,2
289,Deep,유성은,0,0,0,0,0,0,0,5,0,0,0
290,소원이지 (Feat. 유병재),MINO (송민호),0,0,0,0,0,0,0,5,0,0,0
291,닿은 순간 (Ooh La La La),EXO,0,0,0,0,0,0,0,6,0,0,1
292,비 오는 거리 (Feat. 핫펠트),베이빌론 (Babylon),3,1,2,0,1,0,0,8,2,1,0
293,"깜빡 Remix (Feat. Crush, Elo & Jinbo)",GRAY (그레이),0,0,0,0,0,0,0,5,0,0,0
294,"Funny (PROD. e.one, SEION)",소유 (SOYOU),2,0,0,1,1,0,0,5,1,0,0
295,곡선,선미,0,0,0,0,0,0,0,5,0,0,0
296,HERE I COME,신화,4,0,0,0,0,1,0,5,3,0,0
297,Trouble Maker,트러블메이커,1,0,0,1,1,0,0,7,5,0,0
298,"PLAY ME (Feat. 식케이, PENOMECO)",WOOGIE,0,0,0,0,0,0,0,5,0,0,0
299,Cereal (Feat. ZICO),Crush,0,0,0,0,0,0,0,5,0,0,0
300,Wanna Love You,폴킴,2,0,2,2,0,0,0,5,2,0,3
301,야시시,NS 윤지,4,1,1,2,0,1,0,7,0,7,1
302,Lovestar (#럽스타),나비 (Navi),0,0,0,0,0,0,0,5,0,0,0
303,아슬해,EXID,1,1,0,1,3,0,0,5,0,0,2
304,X (Cross The Moonlight) (Feat. 이라온),마크툽 (MAKTUB),17,0,1,0,2,1,0,6,1,5,0
305,매일밤,EXID,0,0,0,0,0,0,0,5,0,0,0
306,I Got Love,태연 (TAEYEON),5,2,0,0,0,0,0,9,0,0,0
307,피어나,가인,0,0,0,0,0,0,0,5,0,0,0
308,Paradise Lost,가인,1,1,2,0,0,0,2,8,0,3,0
309,"아끼지마 (Feat. 초아(AOA), 아이언) (Don't Be Shy)",프라이머리,4,0,0,2,0,0,0,8,0,0,0
310,우리끼리 (Words Don't Come Easy),마마무 (Mamamoo),1,0,0,0,0,0,0,5,0,0,0
