노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('이상한 얘기 (Daytripper)', '하키')",,,,,5,,,,,,
"('New 욕', '자우림')",,,,,5,,,,,,
"('우린 결국 그렇게 (Feat. Seori)', '기리보이')",,,,,5,,,,,,
"('버려진 것들', '스웨덴세탁소')",,,,,5,,,,,,
"('길 잃은 강아지', '아이유')",,,,,5,,,,,,
"('전 여자친구에게 (Feat. 선우정아)', 'San E')",,,,,5,,,,,,
"('행복합니다 (Feat. 김종완 Of Nell)', '에픽하이 (EPIK HIGH)')",,,,,5,,,,,,
"('요단강', '네스티요나')",,,,,5,,,,,,
"('Plastic Flower (상사병)', '박정현')",,,,,5,,,,,,
"('탈진', '황보령')",,,,,5,,,,,,
"('잔혹동화', '아이유')",,,,,5,,,,,,
"('괴물', 'PPCX (피터팬컴플렉스)')",,,,,5,,,,,,
"('늪', '조관우')",,,,,5,,,,,,
"('암실', '쏜애플 (THORNAPPLE)')",,,,,5,,,,,,
"('뱀', '키치레코드')",,,,,5,,,,,,
"('Act 5', '넬 (NELL)')",,,,,5,,,,,,
"('교실이데아', '서태지')",,,,,5,,,,,,
"('령혼', '양파')",,,,,5,,,,,,
"('오르골 (Orgel)', 'SHINee (샤이니)')",,,,,5,,,,,,
"('새', '자우림')",,,,,5,,,,,,
"('Paradise Lost', '가인')",,,,,5,,,,,,
"('하비샴의 왈츠 (Miss Havishams Waltz)', '박정현')",,,,,5,,,,,,
"('Dracula', 'f(x)')",,,,,5,,,,,,
"('미친거니 (Feat. 방용국)', '송지은')",,,,,5,,,,,,
"('낙화(落花)', '자우림')",,,,,5,,,,,,
"('피해망상 Pt. 1 (Feat. Junggigo)', '에픽하이 (EPIK HIGH)')",,,,,5,,,,,,
"('음탕한 계집', '정차식')",,,,,5,,,,,,
"('저주인형', 'VIXX (빅스)')",,,,,5,,,,,,
"('미궁', '황병기')",,,,,5,,,,,,
"('Six Feet Under', 'Billie Eilish')",,,,,,5,,,,,
"('Your Eyes', '선우정아')",,,,,,5,,,,,
"('괴물이 되어가는 사람들', '하근영')",,,,,,5,,,,,
"('Somewhere (Memory Ver.)', '김예솔')",,,,,,5,,,,,
"('T-KT', '하진 (HAJIN)')",,,,,,5,,,,,
"('Empty', 'Sawano Hiroyuki')",,,,,,5,,,,,
"('슬픈 끝맺음', '카더가든')",,,,,,5,,,,,
"(""Don't Bring Me Down"", '남혜승')",,,,,,5,,,,,
"('Castle', '박상희')",,,,,,5,,,,,
"('Lullaby', '일레인')",,,,,,5,,,,,
"('빨간 하늘', 'Halsey')",,,,,,5,,,,,
"('The Love', '너드커넥션 (Nerd Connection)')",,,,,,5,,,,,
"('Somewhere', '임승범')",,,,,,5,,,,,
"('Set Me Free', '호피폴라')",,,,,,5,,,,,
"('IDK', '오존 (O3ohn)')",,,,,,5,,,,,
"('Lost Time', '가인')",,,,,,5,,,,,
"('RescuE', 'MOSSS')",,,,,,5,,,,,
"(""Michael's Sword"", '개미')",,,,,,5,,,,,
"('In the whale', '온유 (ONEW)')",,,,,,,5,,,,
"('시계초침 (Feat. BRWN, Huiii)', 'SUDI')",,,,,,,5,,,,
"(""So Long (Feat. I'll)"", 'THAMA')",,,,,,,5,,,,
"('흔적기관 (痕跡器管)', '김뮤지엄 (KIMMUSEUM)')",,,,,,,5,,,,
"('친구 사이', 'JEMN')",,,,,,,5,,,,
"('PILLOW', 'DOKO (도코)')",,,,,,,5,,,,
"('Love Phobia', 'Wynn (윈)')",,,,,,,5,,,,
"('그걸로도 충분해요 (Feat. 수안)', '온유 (ONEW)')",,,,,,,5,,,,
"('Yesterday', 'San E')",,,,,,,5,,,,
"('MDA', '초아')",,,,,,,5,,,,
"('home alone type.', 'hamzzi')",,,,,,,5,,,,
"('Answer', 'Mood.')",,,,,,,5,,,,
"('북극성 (Never Goodbye)', 'homezone')",,,,,,,5,,,,
"('잊을 수 없어', 'NCT DREAM')",,,,,,,5,,,,
"('Ending', '9001 (Ninety O One)')",,,,,,,5,,,,
"('Yellow (Feat.런치)', '싸비 (XAVII)')",,,,,,,5,,,,
"('봄여름가을겨울 (Still Life)', '주시크 (Joosiq)')",,,,,,,5,,,,
"('끊기 싫어 버티는 네가 좋아', 'BIGBANG (빅뱅)')",,,,,,,5,,,,
"('각자의 취향 (Feat. Paloalto)', 'WEN')",,,,,,,5,,,,
"('Someday (Feat. SOLE) (Prod. Padi)', 'Milena (밀레나)')",,,,,,,5,,,,
"('right here', '선재 (snzae)')",,,,,,,5,,,,
"('HEY', 'keshi')",,,,,,,5,,,,
"('Ooh Ooh', 'THAMA')",,,,,,,5,,,,
"('이상기후', 'THAMA')",,,,,,,5,,,,
"('운명이란걸 (Feat. KAYA)', '기리보이')",,,,,,,5,,,,
"('NO MORE (Feat. 채수빈)', '비미 (BEME)')",,,,,,,5,,,,
"('Cashmere (Feat. 네이비쿼카)', 'Plo6')",,,,,,,5,,,,
"('마음은 마음대로', '리슨 (LYSON)')",,,,,,,5,,,,
"('Back to Love', '우재 (WOOJAE)')",,,,,,,5,,,,
"('Forever (feat. So!YoON!)', 'FRankly (프랭클리)')",,,,,,,5,,,,
"('젖은 우산', 'Rad Museum')",,,,,,,5,,,,
"('이렇게 둘이', 'Rad Museum')",,,,,,,5,,,,
"('우린 어떠한 별보다 빛날 거야', '창모 (CHANGMO)')",,,,,,,5,,,,
"('Maybe We Could Be a Thing', '이하이')",,,,,,,5,,,,
"('GANADARA (Feat. 아이유)', 'Jesse Barrera')",,,,,,,5,,,,
"('A LOT', 'Michael Carreon')",,,,,,,5,,,,
"('Love yourself', 'Albert Posis')",,,,,,,5,,,,
"('우리 얘기 좀 하자 (With 예빈(다이아))', '박재범')",,,,,,,5,,,,
"('October Rain', 'John K')",,,,,,,5,,,,
"('어제처럼', '저드 (jerd)')",,,,,,,5,,,,
"('손을 잡는다거나, 같이 걷는다거나', '단칸방 로맨스')",,,,,,,5,,,,
"('Fallin (Acoustic ver.) (Song by SIM2, Owler)', 'JEHO')",,,,,,,5,,,,
"('Pilot', '폴킴')",,,,,,,5,,,,
"('선을 그려줘 (Feat. 백선)', '적재')",,,,,,,5,,,,
"('그래서 그래 (Feat. 윤하)', 'SOUND PALETTE')",,,,,,,5,,,,
"('Midnight Library (Feat. Kelsey Kuan, Kevin Chung)', 'NCT 127')",,,,,,,5,,,,
"('꿈의 백화점 (Feat. Ashley Alisha, Heyden)', '노르웨이 숲')",,,,,,,5,,,,
"('말해줘', '에픽하이 (EPIK HIGH)')",,,,,,,5,,,,
"('Sunshine', '뎁트')",,,,,,,5,,,,
"('Guess & try (feat. RIPLEY)', '뎁트')",,,,,,,5,,,,
"('야몽음인 (夜夢陰人)', '이바다')",,,,,,,,5,,,
"('One More Night (Feat. VINXEN)', '베이빌론 (Babylon)')",,,,,,,,5,,,
"('Deep', '유성은')",,,,,,,,5,,,
"('소원이지 (Feat. 유병재)', 'MINO (송민호)')",,,,,,,,5,,,
"('닿은 순간 (Ooh La La La)', 'EXO')",,,,,,,,5,,,
"('비 오는 거리 (Feat. 핫펠트)', '베이빌론 (Babylon)')",,,,,,,,5,,,
"('깜빡 Remix (Feat. Crush, Elo & Jinbo)', 'GRAY (그레이)')",,,,,,,,5,,,
"('Funny (PROD. e.one, SEION)', '소유 (SOYOU)')",,,,,,,,5,,,
"('곡선', '선미')",,,,,,,,5,,,
"('HERE I COME', '신화')",,,,,,,,5,,,
"('Trouble Maker', '트러블메이커')",,,,,,,,5,,,
"('PLAY ME (Feat. 식케이, PENOMECO)', 'WOOGIE')",,,,,,,,5,,,
"('Cereal (Feat. ZICO)', 'Crush')",,,,,,,,5,,,
"('Wanna Love You', '폴킴')",,,,,,,,5,,,
"('야시시', 'NS 윤지')",,,,,,,,5,,,
"('Lovestar (#럽스타)', '나비 (Navi)')",,,,,,,,5,,,
"('아슬해', 'EXID')",,,,,,,,5,,,
"('X (Cross The Moonlight) (Feat. 이라온)', '마크툽 (MAKTUB)')",,,,,,,,5,,,
"('매일밤', 'EXID')",,,,,,,,5,,,
"('I Got Love', '태연 (TAEYEON)')",,,,,,,,5,,,
"('피어나', '가인')",,,,,,,,5,,,
"('Paradise Lost', '가인')",,,,,,,,5,,,
"(""아끼지마 (Feat. 초아(AOA), 아이언) (Don't Be Shy)"", '프라이머리')",,,,,,,,5,,,
"(""우리끼리 (Words Don't Come Easy)"", '마마무 (Mamamoo)')",,,,,,,,5,,,
"('A-Ha', '아이비')",,,,,,,,5,,,
"('Sweet & Easy', '원더걸스')",,,,,,,,5,,,
"('집에 안갈래 (Feat. 긱스)', '나비 (Navi)')",,,,,,,,5,,,
"('U & Me (Feat. JINBO)', 'SUMIN (수민)')",,,,,,,,5,,,
"('Like This (Feat. SOMA)', '리코 (Rico)')",,,,,,,,5,,,
"('Tattoo (Feat. 박재범)', 'ELO')",,,,,,,,5,,,
"('Melt (Feat. Colde)', 'ELO')",,,,,,,,5,,,
"('TOUCH MY BODY', '샘김 (Sam Kim)')",,,,,,,,5,,,
"('Downtown Love (Feat. 매드클라운, 웨일)', '주영')",,,,,,,,5,,,
"('Planet Girl (Feat. pH-1)', '주영')",,,,,,,,5,,,
"('Moonlight', '나비 (Navi)')",,,,,,,,5,,,
"('Lily (Feat. 로운 of SF9)', 'AOA')",,,,,,,,5,,,
"('단둘이', 'AOA')",,,,,,,,5,,,
"('Chocolate Legs', 'Eric Benet')",,,,,,,,5,,,
"('Stupid (With SugarFlow)', 'HUS (허밍어반스테레오)')",,,,,,,,5,,,
"('Body Party', 'Ciara')",,,,,,,,5,,,
"('들어와', '허가윤 (4minute)')",,,,,,,,5,,,
"('전화기를 꺼놔 Remix (Feat. ELO)', '현아')",,,,,,,,5,,,
"('Moderato (Feat. Hash Swan)', '박재범')",,,,,,,,5,,,
"('잼잼', '마마무 (Mamamoo)')",,,,,,,,5,,,
"('손만 잡고 자자 (TURN OFF THE LIGHT) (MINO SOLO)', '아이유')",,,,,,,,5,,,
"('예쁜 아가씨', 'WINNER')",,,,,,,,5,,,
"('하나 더 (One More)', '신혜성')",,,,,,,,5,,,
"('MOVE', '피에스타')",,,,,,,,5,,,
"('후아힌 (Feat. 강민희 Of 미스에스)', '태민 (TAEMIN)')",,,,,,,,5,,,
"('찰리채플린', 'CSP')",,,,,,,,5,,,
"('Six Feet Under', 'Billie Eilish')",,,,,,,,,5,,
"('Your Eyes', '선우정아')",,,,,,,,,5,,
"('괴물이 되어가는 사람들', '하근영')",,,,,,,,,5,,
"('Somewhere (Memory Ver.)', '김예솔')",,,,,,,,,5,,
"('T-KT', '하진 (HAJIN)')",,,,,,,,,5,,
"('Empty', 'Sawano Hiroyuki')",,,,,,,,,5,,
"('슬픈 끝맺음', '카더가든')",,,,,,,,,5,,
"(""Don't Bring Me Down"", '남혜승')",,,,,,,,,5,,
"('Castle', '박상희')",,,,,,,,,5,,
"('Lullaby', '일레인')",,,,,,,,,5,,
"('빨간 하늘', 'Halsey')",,,,,,,,,5,,
"('The Love', '너드커넥션 (Nerd Connection)')",,,,,,,,,5,,
"('Somewhere', '임승범')",,,,,,,,,5,,
"('Set Me Free', '호피폴라')",,,,,,,,,5,,
"('IDK', '오존 (O3ohn)')",,,,,,,,,5,,
"('Lost Time', '가인')",,,,,,,,,5,,
"('RescuE', 'MOSSS')",,,,,,,,,5,,
"(""Michael's Sword"", '개미')",,,,,,,,,5,,
"('LUCA', '박정환')",,,,,,,,,5,,
"('The First Day', '윤하 (YOUNHA)')",,,,,,,,,5,,
"('Body Talk', '오혜주')",,,,,,,,,5,,
"('We all lie (Slow Ver.)', '젬마(JEMMA)')",,,,,,,,,5,,
"('Dark Sun', '락다이아몬드')",,,,,,,,,5,,
"('Call of Silence', 'Red Velvet (레드벨벳)')",,,,,,,,,5,,
"('슬픈 행진 (Sad March)', '하진 (HAJIN)')",,,,,,,,,5,,
"('전쟁터 (with 이선희)', '개미')",,,,,,,,,5,,
"('Through Time', 'Sawano Hiroyuki [nZk]')",,,,,,,,,5,,
"('Lost', '일레인')",,,,,,,,,5,,
"('Kingdom Come', 'AKMU (악뮤)')",,,,,,,,,5,,
"('Timeless', '김동혁')",,,,,,,,,5,,
"('Control', '이한범')",,,,,,,,,5,,
"('잘 알지도 못하면서', '윤미래')",,,,,,,,,5,,
