,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
96,봄이 피어나,비투비,1,0,6,0,0,0,0,1,0,3,3
97,사랑인가 봐 (Acoustic Ver.),김세정,0,0,6,0,0,0,0,0,0,5,0
98,RAINBOW,여자친구 (GFRIEND),2,0,6,0,0,0,0,4,4,3,2
99,DICE,온유 (ONEW),0,0,5,0,0,0,0,1,0,0,0
100,D-DAY,휘인 (Whee In),2,0,5,0,1,0,0,0,1,0,0
101,Grey Suit,수호 (SUHO),2,1,6,1,0,1,1,1,1,1,1
102,Feel My Rhythm,Red Velvet (레드벨벳),1,0,5,1,1,0,0,1,0,0,1
103,Go!,도겸 (SEVENTEEN),0,0,6,0,1,0,3,2,0,0,3
104,TOMBOY,(여자)아이들,1,2,5,0,0,2,0,2,1,3,0
105,야간비행 (Turbulence),ATEEZ (에이티즈),5,5,6,1,4,0,0,1,0,0,3
106,Glitch,권은비,4,0,7,2,0,0,0,1,1,0,2
107,버퍼링 (Glitch Mode),NCT DREAM,5,2,7,3,0,2,0,1,3,3,1
108,Real Love,오마이걸 (OH MY GIRL),0,0,7,0,0,0,0,2,0,4,4
109,DAYDREAM,하이라이트 (Highlight),3,1,6,1,0,4,0,0,0,1,1
110,INVU,태연 (TAEYEON),2,0,7,0,0,2,0,0,1,0,0
111,Starlight,태일 (TAEIL),4,0,5,0,0,0,0,4,0,1,4
112,LO$ER=LO♡ER,투모로우바이투게더,4,1,6,1,0,1,0,4,1,0,1
113,예뻤어,원필 (DAY6),4,0,5,0,0,0,0,4,0,1,0
114,BOP BOP!,VIVIZ (비비지),3,4,8,3,1,3,0,0,0,3,4
115,"다시, 봄",뉴이스트,0,0,5,0,0,0,0,0,3,3,3
116,RUN2U,STAYC(스테이씨),3,1,5,0,0,5,0,1,1,3,0
117,VOYAGER,기현 (몬스타엑스),0,0,6,3,0,0,3,3,0,1,0
