,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
155,헤어지는 중,펀치 (Punch),1,,,,,,,,,,
156,하루끝엔 그대가 있어요,한동근,1,,,,,,,,,,
157,고슴도치의 기도,우효,1,,,,,,,,,,
158,그대의 편이 돼 줄게 (Feat. 굿나잇스탠드),"공기남, 고닥",1,,,,,,,,,,
159,내 안에 그 사람,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
160,지각,장덕철,1,,,,,,,,,,
161,아마도 우린,우효,1,,,,,,,,,,
162,One Day,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
163,Clip,볼빨간사춘기,1,,,,,,,,,,
164,마치 우린 없었던 사이 (Prod. 정키),다비치,1,,,,,,,,,,
165,가을 안부,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
166,아침달,nov (노브),1,,,,,,,,,,
167,장마 (Rainy Season),마마무 (Mamamoo),1,,,,,,,,,,
168,사람이 사람을 좋아하는 건 (Duet With 이츠),노르웨이 숲,1,,,,,,,,,,
169,Way Back Home,숀 (SHAUN),1,,,,,,,,,,
170,Lonely,볼빨간사춘기,1,,,,,,,,,,
171,안갯길 (Prod. By 진영(B1A4)),벤,1,,,,,,,,,,
172,못된 마음 (Feat. 정해일),플랏나인,1,,,,,,,,,,
173,오하이오 OHIO,권월,1,,,,,,,,,,
174,"안녕, 곰인형",볼빨간사춘기,1,,,,,,,,,,
175,너 없인 안 된다,비투비,1,,,,,,,,,,
176,소나기 (Feat. 10cm),용준형,1,,,,,,,,,,
177,야경,볼빨간사춘기,1,,,,,,,,,,
178,Perfectly Wrong,Shawn Mendes,1,,,,,,,,,,
179,Someone like you,EXO-CBX (첸백시),1,,,,,,,,,,
180,Because I Had You,Shawn Mendes,1,,,,,,,,,,
181,꽃 (Prod. 정키),브로맨스 (VROMANCE),1,,,,,,,,,,
182,알지도 못하면서,민서,1,,,,,,,,,,
183,Where Were You In The Morning?,Shawn Mendes,1,,,,,,,,,,
184,You,멜로망스,1,,,,,,,,,,
185,지나오다,닐로(Nilo),1,,,,,,,,,,
186,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,1,,,,,,,,,,
187,Paper Hearts,Tori Kelly,1,,,,,,,,,,
188,꽃 길,BIGBANG (빅뱅),1,,,,,,,,,,
189,Say Something (Feat. Christina Aguilera),A Great Big World,1,,,,,,,,,,
190,별이 빛나는 밤,마마무 (Mamamoo),1,,,,,,,,,,
191,눈부신 눈물,디셈버,1,,,,,,,,,,
192,별이될께,디셈버,1,,,,,,,,,,
193,Never Say Goodbye,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
194,사랑할거예요,소피야 (Sophiya),1,,,,,,,,,,
195,오늘 같은 밤이면,먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
196,오늘밤도,펀치 (Punch),1,,,,,,,,,,
197,여기까지,"권진아, 샘김 (Sam Kim)",1,,,,,,,,,,
198,후유증,"민경훈, 김희철",1,,,,,,,,,,
199,끝이 아닌 것 같아서,바닐라 어쿠스틱,1,,,,,,,,,,
200,사람이,"정동하, 폴킴",1,,,,,,,,,,
201,아주 오래된 기억,백예린 (Yerin Baek),1,,,,,,,,,,
202,네게,양다일,1,,,,,,,,,,
203,퇴근버스,이준호,1,,,,,,,,,,
204,나를 좋아하지 않는 그대에게,박원,1,,,,,,,,,,
205,오늘도 그대만 (Feat. 정동원),T.P RETRO (타디스 프로젝트舊),1,,,,,,,,,,
206,너만 없다,예이슬,1,,,,,,,,,,
207,사랑을 했다 (LOVE SCENARIO),iKON,1,,,,,,,,,,
208,한 편의 너,"양다일, 도겸 (SEVENTEEN)",1,,,,,,,,,,
209,미안해,양다일,1,,,,,,,,,,
210,답장,김동률,1,,,,,,,,,,
211,어떤가요,노을,1,,,,,,,,,,
212,너만 없다,JIN (러블리즈),1,,,,,,,,,,
213,내 사랑,폴킴,1,,,,,,,,,,
214,그날처럼,장덕철,1,,,,,,,,,,
215,Ex,폴킴,1,,,,,,,,,,
216,가만히 눈을 감고 (CF - 교토 다원녹차),정재욱,1,,,,,,,,,,
217,Universe,EXO,1,,,,,,,,,,
218,꽃비,폴킴,1,,,,,,,,,,
219,Lonely (Feat. 태연),종현 (JONGHYUN),1,,,,,,,,,,
220,널 떠올리는게 (Thinking of you),"술제이 (Sool J), 폴킴, ultimadrap (울티마 디랩)",1,,,,,,,,,,
221,너는 어때,"이강, 양다일",1,,,,,,,,,,
222,그리워,"양다일, 효린",1,,,,,,,,,,
223,긴긴밤,블루파프리카,1,,,,,,,,,,
224,너였고 너이고 너일 거라서,세븐어클락,1,,,,,,,,,,
225,11°,민아 (Minah),1,,,,,,,,,,
226,Her,폴킴,1,,,,,,,,,,
227,우리라는 세상,이석훈,1,,,,,,,,,,
228,Piano (Feat. iHwak),제이문 (Jay Moon),1,,,,,,,,,,
229,For You,브라운 아이즈,1,,,,,,,,,,
230,To. 첫사랑,마인드유,1,,,,,,,,,,
231,결혼,문문 (MoonMoon),1,,,,,,,,,,
232,바람의 노래,소향,1,,,,,,,,,,
233,빗속에서,"켄(KEN), 최상엽",1,,,,,,,,,,
234,기억의 빈자리 (Piano Ver.),나얼,1,,,,,,,,,,
235,우리라는 세상,이석훈,1,,,,,,,,,,
236,길,폴킴,1,,,,,,,,,,
237,이젠 잊기로 해요,여은,1,,,,,,,,,,
238,우리가 헤어진 이유,한올,1,,,,,,,,,,
239,그대는 어디에 (Feat. 한희정),에피톤 프로젝트,1,,,,,,,,,,
240,끝사랑,지세희,1,,,,,,,,,,
241,잘 된 일이야,나비 (Navi),1,,,,,,,,,,
242,혼자,어반자카파,1,,,,,,,,,,
243,좋아,"민서, 윤종신",1,,,,,,,,,,
244,This Christmas,태연 (TAEYEON),1,,,,,,,,,,
245,"그때의 나, 그때의 우리",어반자카파,1,,,,,,,,,,
246,비처럼 가지 마요 (One More Chance),SUPER JUNIOR (슈퍼주니어),1,,,,,,,,,,
247,울고 싶지 않아,세븐틴,1,,,,,,,,,,
248,Three Empty Words,Shawn Mendes,1,,,,,,,,,,
249,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),1,,,,,,,,,,
250,Honest,Shawn Mendes,1,,,,,,,,,,
251,비,폴킴,1,,,,,,,,,,
