,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
139,Ask,엔플라잉 (N.Flying),,,,,,,1,,,,
140,Singing In The Rain (Joo Chan & Bo Min),골든차일드,,,,,,,1,,,,
141,Multiply,WOODZ (조승연),,,,,,,1,,,,
142,purple (feat. ROMderful),oceanfromtheblue,,,,,,,1,,,,
143,I Wonder,유승우,,,,,,,1,,,,
144,Playlist (Feat. 지젤 (Jiselle)),해일(Haeil),,,,,,,1,,,,
145,breath(티파니에서 모닝 키스를 OST),소유 (SOYOU),,,,,,,1,,,,
146,분명 우린 그땐 좋았었어 (Happier than Ever),마마무 (Mamamoo),,,,,,,1,,,,
147,뜬구름,Jimmy Brown,,,,,,,1,,,,
148,Night and Night,알레프 (ALEPH),,,,,,,1,,,,
149,시간이 지나서 (feat. 죠지),hiko,,,,,,,1,,,,
150,나는 너에게,윤원,,,,,,,1,,,,
151,Paris With You (Feat. Jae Luna),"서액터, 뎁트",,,,,,,1,,,,
152,My Romance,CHEEZE (치즈),,,,,,,1,,,,
153,icy girl (feat. SOLE),oceanfromtheblue,,,,,,,1,,,,
154,산책,백예린 (Yerin Baek),,,,,,,1,,,,
155,돌아가자,백예린 (Yerin Baek),,,,,,,1,,,,
156,그대의 의도,이하이,,,,,,,1,,,,
157,Bye,이하이,,,,,,,1,,,,
158,안전지대,이하이,,,,,,,1,,,,
159,어려워,이하이,,,,,,,1,,,,
160,Darling,이하이,,,,,,,1,,,,
161,이별앞에 솔직한 우리 (Prod. Con),KURO,,,,,,,1,,,,
162,이상한 나라의 라푼젤,Lay.bn,,,,,,,1,,,,
163,그렇게 됐나 봐 (아는 여자애 X 이민혁),이민혁,,,,,,,1,,,,
164,Microphone (Feat. 다운(Dvwn)),Young K (DAY6),,,,,,,1,,,,
165,I’ll BE THERE,STAYC(스테이씨),,,,,,,1,,,,
166,ONLY,이하이,,,,,,,1,,,,
167,Walking,도하,,,,,,,1,,,,
